Ride_ID,Booking_DateTime,Date,Time,Hour,Day_of_Week,Month,Time_Period,Is_Weekend,City,Distance_KM,Duration_Min,Ride_Type,Base_Fare,Surge_Multiplier,Total_Fare,Fare_Per_KM,Speed_KMH,Distance_Category,Fare_Category,Status,Payment_Method,Rating,Driver_ID,Customer_ID
RIDE100001,2024-06-12 03:01:00,2024-06-12,03:01:00,3,Wednesday,June,Late Night,Weekday,Chennai,11.14,20.4,Sedan,60,1.0,202.0,18.13,32.76,Medium (5-15 km),High (₹150-300),Completed,Cash,5.0,DR9935,CUST21395
RIDE100002,2024-05-31 13:02:00,2024-05-31,13:02:00,13,Friday,May,Afternoon,Weekday,Mumbai,19.85,48.9,Mini,40,1.0,227.85,11.48,24.36,Long (15-30 km),High (₹150-300),Completed,UPI,2.0,DR4257,CUST95181
RIDE100003,2024-06-28 17:26:00,2024-06-28,17:26:00,17,Friday,June,Evening Peak,Weekday,Hyderabad,24.65,47.9,Premium,150,1.8,1372.95,55.7,30.88,Long (15-30 km),Premium (₹300+),Completed,Wallet,5.0,DR3615,CUST65392
RIDE100004,2024-03-28 08:09:00,2024-03-28,08:09:00,8,Thursday,March,Morning Peak,Weekday,Hyderabad,8.09,17.0,SUV,100,1.0,255.35,31.56,28.55,Medium (5-15 km),High (₹150-300),Completed,Cash,5.0,DR5333,CUST15695
RIDE100005,2024-04-27 17:07:00,2024-04-27,17:07:00,17,Saturday,April,Evening Peak,Weekend,Kolkata,8.7,21.5,Mini,40,1.9800000000000002,50.0,5.75,24.28,Medium (5-15 km),Low (≤₹50),Cancelled,,,DR6925,CUST85674
RIDE100006,2024-02-19 22:04:00,2024-02-19,22:04:00,22,Monday,February,Night,Weekday,Mumbai,10.59,17.1,Bike,15,1.0,55.32,5.22,37.16,Medium (5-15 km),Medium (₹50-150),Completed,Wallet,5.0,DR2654,CUST59823
RIDE100007,2024-03-12 14:40:00,2024-03-12,14:40:00,14,Tuesday,March,Afternoon,Weekday,Pune,21.06,56.4,Sedan,60,1.0,355.2,16.87,22.4,Long (15-30 km),Premium (₹300+),Completed,Cash,4.0,DR2169,CUST89840
RIDE100008,2024-06-11 05:34:00,2024-06-11,05:34:00,5,Tuesday,June,Early Morning,Weekday,Hyderabad,17.89,39.6,Sedan,60,1.1,328.13,18.34,27.11,Long (15-30 km),Premium (₹300+),Completed,Wallet,5.0,DR4598,CUST99733
RIDE100009,2024-03-24 01:14:00,2024-03-24,01:14:00,1,Sunday,March,Late Night,Weekend,Mumbai,9.4,19.0,SUV,100,1.2100000000000002,337.59,35.91,29.68,Medium (5-15 km),Premium (₹300+),Completed,Wallet,5.0,DR6155,CUST37869
RIDE100010,2024-06-16 15:25:00,2024-06-16,15:25:00,15,Sunday,June,Afternoon,Weekend,Ahmedabad,6.1,10.9,Sedan,60,1.1,151.08,24.77,33.58,Medium (5-15 km),High (₹150-300),Completed,Card,4.0,DR8019,CUST86484
RIDE100011,2024-04-12 11:14:00,2024-04-12,11:14:00,11,Friday,April,Morning Peak,Weekday,Bangalore,2.74,12.4,Auto,25,1.0,48.0,17.52,13.26,Short (0-5 km),Low (≤₹50),Completed,Card,5.0,DR3504,CUST92240
RIDE100012,2024-02-10 21:27:00,2024-02-10,21:27:00,21,Saturday,February,Night,Weekend,Delhi,16.14,33.8,Premium,150,1.1,613.03,37.98,28.65,Long (15-30 km),Premium (₹300+),Completed,UPI,4.0,DR1188,CUST99166
RIDE100013,2024-01-30 21:56:00,2024-01-30,21:56:00,21,Tuesday,January,Night,Weekday,Chennai,9.95,20.5,Bike,15,1.0,55.1,5.54,29.12,Medium (5-15 km),Medium (₹50-150),Completed,UPI,3.0,DR1053,CUST44522
RIDE100014,2024-05-08 05:32:00,2024-05-08,05:32:00,5,Wednesday,May,Early Morning,Weekday,Delhi,5.95,26.6,Bike,15,1.1,50.0,8.4,13.42,Medium (5-15 km),Low (≤₹50),Cancelled,,,DR4258,CUST30032
RIDE100015,2024-04-05 05:34:00,2024-04-05,05:34:00,5,Friday,April,Early Morning,Weekday,Mumbai,21.84,52.8,Auto,25,1.1,191.18,8.75,24.82,Long (15-30 km),High (₹150-300),Completed,Cash,4.0,DR6038,CUST41385
